Run,Gen,Max_PDR,Avg_PDR
11,1,28.329787234042552,25.02340425531915
11,2,28.329787234042552,23.270212765957446
11,3,28.648936170212767,24.32659574468085
11,4,28.648936170212767,23.929787234042557
11,5,28.999999999999996,22.07659574468085
11,6,28.999999999999996,20.627659574468087
11,7,28.999999999999996,24.30744680851064
11,8,28.999999999999996,24.96808510638298
11,9,28.999999999999996,26.861702127659576
11,10,28.999999999999996,27.849787234042548
12,1,29.04255319148936,24.408404255319148
12,2,29.04255319148936,21.667021276595747
12,3,29.04255319148936,23.357446808510637
12,4,29.04255319148936,22.125531914893617
12,5,29.04255319148936,22.570212765957447
12,6,29.04255319148936,25.732978723404255
12,7,29.04255319148936,26.426595744680856
12,8,29.04255319148936,25.60425531914894
12,9,29.04255319148936,25.9
12,10,29.04255319148936,27.641489361702128
13,1,28.43617021276596,25.634893617021277
13,2,28.43617021276596,22.919148936170217
13,3,28.43617021276596,23.083829787234045
13,4,28.43617021276596,23.776595744680854
13,5,28.43617021276596,22.86744680851064
13,6,28.43617021276596,24.43297872340425
13,7,28.43617021276596,23.49148936170213
13,8,28.48936170212766,26.2
13,9,28.797872340425535,27.28404255319149
13,10,28.999999999999996,27.428723404255322
14,1,28.659574468085108,25.84021276595745
14,2,28.659574468085108,20.61382978723404
14,3,28.702127659574465,24.436170212765962
14,4,28.702127659574465,24.417021276595747
14,5,28.702127659574465,23.610638297872338
14,6,28.702127659574465,21.30744680851064
14,7,28.702127659574465,23.507446808510643
14,8,28.702127659574465,23.33510638297873
14,9,28.904255319148938,26.951063829787238
14,10,29.170212765957448,28.255319148936174
15,1,28.712765957446805,26.162765957446812
15,2,28.712765957446805,19.391063829787235
15,3,28.712765957446805,21.87127659574468
15,4,28.712765957446805,23.92872340425532
15,5,28.712765957446805,23.14468085106383
15,6,28.893617021276597,23.35287234042553
15,7,28.893617021276597,25.220212765957445
15,8,28.893617021276597,22.05212765957447
15,9,28.893617021276597,26.637234042553196
15,10,29.06382978723404,27.3531914893617
