Run,Gen,Max_PDR,Avg_PDR
20,7,4.617021276595745,2.552127659574468
20,8,4.670212765957447,3.7148936170212763
20,9,4.670212765957447,3.811702127659575
20,10,4.872340425531915,4.4904255319148945
21,1,11.638297872340425,2.176595744680851
21,2,16.54255319148936,4.448936170212766
21,3,24.48936170212766,6.794680851063829
21,4,25.21276595744681,14.4
21,5,27.478723404255316,21.80212765957447
21,6,27.478723404255316,23.61595744680851
21,7,28.010638297872344,26.5968085106383
21,8,28.010638297872344,25.905319148936172
21,9,28.010638297872344,25.405319148936172
21,10,28.999999999999996,27.207446808510646
22,1,4.691489361702128,2.001063829787234
22,2,4.691489361702128,2.4063829787234043
22,3,7.085106382978723,3.488297872340425
22,4,11.053191489361701,5.86595744680851
22,5,13.946808510638299,6.744680851063831
22,6,13.946808510638299,5.041489361702128
22,7,13.946808510638299,5.203191489361702
22,8,13.946808510638299,7.267021276595744
22,9,13.946808510638299,7.530851063829789
22,10,13.946808510638299,7.686170212765958
23,1,3.095744680851064,0.6627659574468086
23,2,3.361702127659574,2.5265957446808507
23,3,3.361702127659574,2.411702127659574
23,4,3.361702127659574,3.0074468085106387
23,5,3.553191489361702,3.2542553191489363
23,6,3.553191489361702,3.045744680851063
23,7,3.553191489361702,3.154255319148936
23,8,3.553191489361702,3.1702127659574466
23,9,3.553191489361702,3.395744680851064
23,10,3.553191489361702,3.469148936170213
24,1,7.053191489361701,1.324468085106383
24,2,18.0531914893617,5.3999999999999995
24,3,18.0531914893617,3.738297872340425
24,4,18.0531914893617,4.9244680851063825
24,5,22.393617021276597,8.914893617021278
24,6,22.393617021276597,10.637234042553192
24,7,22.393617021276597,9.413829787234043
24,8,22.393617021276597,16.140425531914893
24,9,22.393617021276597,13.536170212765958
24,10,22.393617021276597,14.722340425531916
25,1,5.24468085106383,1.1117021276595742
25,2,12.717021276595744,3.0046808510638296
25,3,12.717021276595744,5.632340425531916
25,4,13.386170212765958,7.960319148936169
25,5,13.386170212765958,7.792872340425532
25,6,13.808510638297872,7.485425531914894
25,7,20.56382978723404,10.544680851063829
25,8,21.06382978723404,15.80308510638298
25,9,28.25531914893617,20.938297872340424
25,10,28.25531914893617,20.72765957446809
26,1,5.329787234042553,1.2053191489361699
26,2,13.946808510638299,3.675531914893617
26,3,13.946808510638299,3.732978723404256
26,4,14.98936170212766,7.663085106382981
26,5,16.425531914893618,10.053191489361703
26,6,17.340425531914892,11.204255319148938
26,7,22.893617021276597,16.630851063829788
26,8,24.70212765957447,19.806382978723406
26,9,24.70212765957447,21.863829787234042
26,10,25.9468085106383,24.575531914893617
27,1,10.329787234042554,3.0617021276595744
27,2,21.73404255319149,4.742553191489361
27,3,27.080851063829787,10.66340425531915
27,4,27.080851063829787,13.954893617021279
27,5,27.080851063829787,16.869787234042555
27,6,27.080851063829787,20.850638297872344
27,7,27.080851063829787,17.528297872340428
27,8,27.170212765957448,22.42723404255319
27,9,28.606382978723406,22.082978723404256
27,10,29.04255319148936,26.503191489361704
28,1,7.48936170212766,1.1329787234042554
28,2,7.48936170212766,3.145744680851064
28,3,25.47872340425532,7.139361702127661
28,4,25.47872340425532,12.301063829787235
28,5,25.47872340425532,12.913829787234041
28,6,27.585106382978726,16.335957446808514
28,7,29.138297872340424,23.413829787234043
28,8,29.138297872340424,26.44382978723404
28,9,29.138297872340424,26.892553191489363
28,10,29.138297872340424,26.42978723404255
29,1,8.446808510638299,1.602127659574468
29,2,26.829787234042552,8.696808510638297
29,3,26.829787234042552,4.1797872340425535
29,4,26.829787234042552,7.585106382978722
29,5,26.829787234042552,14.552127659574467
29,6,26.829787234042552,11.58936170212766
29,7,26.829787234042552,15.950531914893617
29,8,26.829787234042552,17.581702127659575
29,9,26.829787234042552,17.19776595744681
29,10,26.829787234042552,22.54255319148936
30,1,4.8936170212765955,0.9351063829787234
30,2,9.702127659574469,3.5085106382978735
30,3,27.393617021276594,12.027659574468085
30,4,28.138297872340424,21.664893617021274
30,5,28.138297872340424,18.138617021276595
30,6,28.138297872340424,19.337978723404255
30,7,28.138297872340424,24.22446808510638
30,8,28.138297872340424,25.727659574468085
