Gen,Ind_ID,X,Y,Lat,Lon,PDR,IsBest
6,1,1188.3975006828043,1409.712039584139,49.57380560960453,11.01467501991216,27.25531914893617,True
6,2,1265.840497753547,1460.3410480054044,49.57424207448407,11.015764261820642,23.085106382978722,False
6,3,1215.9844246473479,1435.8998313912355,49.57403437436534,11.015066048331606,0.0,False
6,4,1197.1466565304966,1429.2849996980767,49.57397944778371,11.014803204690343,0.0,False
6,5,1218.917491133466,1339.1725729674165,49.573164172349344,11.01507078082665,24.30851063829787,False
6,6,1166.7569661572024,1277.7220465466753,49.57262433995988,11.01432703543063,15.23404255319149,False
6,7,1072.6620134251598,1527.7483627472395,49.57489450521479,11.01311887003862,0.0,False
6,8,1068.1020838241595,1328.8986848944953,49.57310811028027,11.01298229122324,21.47872340425532,False
6,9,1127.2837625379514,1476.536186115981,49.574421010210415,11.01385497216286,20.96808510638298,False
6,10,1269.9799355761024,1490.1809819187354,49.5745093129838,11.015832533576004,22.617021276595743,False
7,1,1188.3975006828043,1409.712039584139,49.57380560960453,11.01467501991216,27.25531914893617,True
7,2,1180.5770889943185,1315.8761882566641,49.57296398719126,11.014532187340643,14.627659574468085,False
7,3,1186.3328197280339,1408.4393971041397,49.57379466662418,11.014646008834722,27.265957446808507,True
7,4,1121.2299157125449,1352.6149852368656,49.573308519723156,11.013725439673848,0.0,False
7,5,1373.9922579558313,1442.6874423659488,49.57405732614439,11.017252707691693,25.978723404255323,False
7,6,1215.6291803818056,1424.2721932392706,49.57392993731626,11.015056832884413,26.691489361702125,False
7,7,1167.6010852950897,1500.2504307551642,49.574624478695284,11.01442106120896,2.276595744680851,False
7,8,1109.3947452525977,1407.112452736177,49.57380125352046,11.01358200551125,20.30851063829787,False
7,9,1246.8413353644003,1457.671488900807,49.57422265301541,11.015500646345036,23.670212765957448,False
7,10,1230.8247862536693,1340.1599505979418,49.573170181115444,11.015235738282867,26.372340425531917,False
8,1,1186.3328197280339,1408.4393971041397,49.57379466662418,11.014646008834722,27.265957446808507,True
8,2,1300.5778735690685,1477.6605080526156,49.574389394196544,11.016250855130602,0.0,False
8,3,1181.6223024645235,1393.6368223902732,49.57366273787899,11.01457541654753,26.127659574468087,False
8,4,1158.139704603571,1431.4815035578222,49.57400858142616,11.0142648239523,21.840425531914896,False
8,5,1183.8547637448619,1359.904668132525,49.573358977024775,11.014593790090904,0.0,False
8,6,1179.2476485267487,1357.2978119748586,49.57333665252771,11.014529141827493,22.74468085106383,False
8,7,1293.73287927007,1384.6188294407043,49.5735546781427,11.016121770753285,27.627659574468083,True
8,8,1446.4543904558263,1390.4049052081652,49.57356988206484,11.018234965056067,22.93617021276596,False
8,9,1286.5259885795672,1359.5852310606374,49.57333138349805,11.016012878358175,28.010638297872344,True
8,10,1311.6947293707215,1460.180849479372,49.57422958885664,11.016398048805703,0.0,False
9,1,1286.5259885795672,1359.5852310606374,49.57333138349805,11.016012878358175,28.010638297872344,True
9,2,1351.854183710952,1392.1365246756434,49.57360825229875,11.016927960003496,0.0,False
9,3,1181.3293375515323,1375.7515761167708,49.57350203518278,11.014564746972187,0.0,False
9,4,1201.094810124972,1503.992498160841,49.57465005424417,11.014885436746448,22.117021276595743,False
9,5,1243.1090849907291,1342.4246524916648,49.573187580921356,11.015406379981416,0.0,False
9,6,1191.7055902800325,1397.8239244301517,49.57369794921619,11.014716346953433,27.319148936170212,False
9,7,1263.9332522761697,1390.5074110737455,49.57361478907856,11.015712034839439,26.904255319148934,False
9,8,1257.7734485568851,1359.4791405842584,49.57333735487169,11.015615397902321,26.896808510638298,False
9,9,1308.196614067317,1367.4746708909952,49.573397082543565,11.01631535005872,28.595744680851066,True
9,10,1195.7014134326932,1449.8365374964765,49.5741645365722,11.01479083486843,25.393617021276594,False
10,1,1308.196614067317,1367.4746708909952,49.573397082543565,11.01631535005872,28.595744680851066,True
10,2,1259.9957246213648,1349.9726043585883,49.57325136403062,11.015642595488979,2.25531914893617,False
10,3,1335.1680818922166,1326.291045989117,49.57302037881189,11.016672912829968,0.0,False
10,4,1253.02628370347,1369.1202297268317,49.57342516326817,11.015553348900829,26.765957446808507,False
10,5,1166.0042061631484,1401.9860986503447,49.57374154992582,11.014362618839536,25.340425531914896,False
10,6,1329.50178119736,1411.0422270643887,49.573783584479365,11.016625990031645,26.606382978723403,False
10,7,1323.872384991546,1342.745244021682,49.57317100955327,11.01652287158294,28.329787234042552,False
10,8,1302.454318008827,1346.974731966797,49.57321418898489,11.016228381335022,0.0,False
10,9,1240.4165463405507,1404.560700498235,49.573746779448555,11.015392169473508,26.659574468085108,False
10,10,1337.522317908629,1342.8362171113056,49.57316853844178,11.016711585116969,0.0,False
