AgentID,Step,Temp,X,Y,Lat,Lon,PDR,IsBest
Agent_1,19,3.7714951562499994,424.86366430680096,1417.4489667241173,49.57405847166712,11.004123515628658,10.25531914893617,False
Agent_1,20,3.7714951562499994,428.46678729838845,1426.3702629616685,49.5741378042673,11.004176607148842,8.170212765957446,False
Agent_1,21,3.7714951562499994,428.46678729838845,1426.3702629616685,49.5741378042673,11.004176607148842,8.170212765957446,False
Agent_1,22,3.2057708828124993,445.0514654103468,1417.3087467262042,49.57405237677653,11.004402522406744,8.22340425531915,False
Agent_1,23,3.2057708828124993,451.7906749065197,1416.598092204271,49.574044374550226,11.004495417568586,8.829787234042554,False
Agent_1,24,3.2057708828124993,446.4755441153615,1427.8236779158374,49.57414655662711,11.00442608003454,8.25531914893617,False
Agent_1,25,2.7249052503906244,444.35056908075705,1428.7167398067952,49.57415509345775,11.004397035086976,8.095744680851064,False
Agent_1,26,2.7249052503906244,430.033941244863,1431.1027262040377,49.574179970092594,11.004200012815238,7.351063829787234,False
Agent_1,27,2.7249052503906244,422.8627750790895,1413.7193014854136,49.57402542404479,11.004094483764739,10.351063829787234,True
Agent_1,28,2.316169462832031,420.9462777358959,1422.4023586811575,49.57410393677613,11.004071189014095,10.297872340425531,False
Agent_1,29,2.316169462832031,420.9462777358959,1422.4023586811575,49.57410393677613,11.004071189014095,10.297872340425531,False
Agent_1,30,2.316169462832031,434.0403052825894,1421.5100754239586,49.57409278035192,11.004251860943604,7.297872340425532,False
Agent_1,31,1.968744043407226,432.243847824825,1420.6946992588137,49.57408588096246,11.004226728020152,7.531914893617022,False
Agent_1,32,1.968744043407226,433.65316609051825,1422.1868940438258,49.57409895712457,11.004246758703024,7.308510638297873,False
Agent_1,33,1.968744043407226,440.62229714695303,1415.6844462671934,49.57403883632262,11.004340699317554,7.223404255319149,False
Agent_1,34,1.6734324368961422,440.87397711264094,1411.1274612524373,49.57399781236102,11.004342500153419,7.212765957446808,False
Agent_1,35,1.6734324368961422,434.9195927601603,1405.8940500149765,49.57395219407057,11.004258264892865,7.627659574468085,False
Agent_1,36,1.6734324368961422,434.1166335134658,1400.1384485992917,49.57390064805043,11.004245046052665,7.776595744680852,False
Agent_1,37,1.4224175713617209,434.69336799947644,1400.306811799499,49.573902023391675,11.00425308029675,7.617021276595745,False
Agent_1,38,1.4224175713617209,435.54918623231447,1400.86756228011,49.573906859150966,11.004265116832826,7.48936170212766,False
Agent_1,39,1.4224175713617209,435.9895624668798,1409.472025796938,49.573984101014524,11.004274372767311,7.340425531914893,False
Agent_1,40,1.2090549356574627,434.46441457880184,1411.6793494063854,49.57400430833882,11.00425410333127,7.457446808510639,False
Agent_1,41,1.2090549356574627,434.1563329516997,1409.8580739482584,49.573988010289455,11.004249174011122,7.5638297872340425,False
Agent_1,42,1.2090549356574627,434.1563329516997,1409.8580739482584,49.573988010289455,11.004249174011122,7.5638297872340425,False
Agent_1,43,1.0276966953088433,436.7870778086492,1410.0136612647432,49.5739887789045,11.004285596359933,7.24468085106383,False
Agent_1,44,1.0276966953088433,434.18747377072424,1412.6424063322638,49.574013031778215,11.00425062978991,7.425531914893617,False
Agent_1,45,1.0276966953088433,436.4800468772451,1416.4246856838079,49.57404648246854,11.004283713106457,7.223404255319149,False
Agent_1,46,0.8735421910125168,438.70032162239886,1419.4180997096687,49.57407285918757,11.00431550657332,7.127659574468086,False
Agent_1,47,0.8735421910125168,433.35939555150986,1420.6696337105643,49.57408538850367,11.004242139150735,7.361702127659575,False
Agent_1,48,0.8735421910125168,434.1665374860609,1420.5196492126606,49.574083846974744,11.00425324114686,7.308510638297873,False
Agent_1,49,0.7425108623606393,433.67991942313296,1421.4331420576295,49.57409217508379,11.004246850952118,7.297872340425532,False
Agent_1,50,0.7425108623606393,433.82209182952164,1420.4857734404386,49.57408362494315,11.004248467355522,7.297872340425532,False
Agent_1,51,0.7425108623606393,433.80822283402534,1420.5267576561987,49.574083996680045,11.004248290734868,7.297872340425532,False
Agent_1,52,0.6311342330065435,436.4192709174655,1422.7011315732814,49.574102917305595,11.004285184307236,7.170212765957447,False
Agent_1,53,0.6311342330065435,437.16378107051287,1422.8116123229067,49.57410373214784,11.004295516455867,7.117021276595745,False
