ID,Rel_X,Rel_Y,Lat,Lon,PDR
Grid_274,1950.0,1950.0,49.5784784986623,11.025403630306894,3.1199999999999997
Grid_275,1950.0,2100.0,49.57982686126711,11.025459460702727,2.87
Grid_276,1950.0,2250.0,49.58117522350972,11.025515295294394,2.48
Grid_277,1950.0,2400.0,49.58252358539012,11.0255711340823,1.79
Grid_278,1950.0,2550.0,49.5838719469083,11.025626977066862,0.62
Grid_279,1950.0,2700.0,49.58522030806426,11.025682824248479,0.0
Grid_280,1950.0,2850.0,49.58656866885802,11.025738675627563,0.0
Grid_281,2100.0,0.0,49.56091345366009,11.026751101823876,0.0
Grid_282,2100.0,150.0,49.56226181925438,11.026806934719604,0.05
Grid_283,2100.0,300.0,49.5636101844864,11.026862771810139,0.83
Grid_284,2100.0,450.0,49.56495854935613,11.026918613095892,1.3299999999999998
Grid_285,2100.0,600.0,49.5663069138636,11.026974458577273,3.16
Grid_286,2100.0,750.0,49.56765527800878,11.027030308254686,3.3099999999999996
Grid_287,2100.0,900.0,49.56900364179168,11.02708616212854,4.83
Grid_288,2100.0,1050.0,49.570352005212285,11.027142020199243,5.41
Grid_289,2100.0,1200.0,49.57170036827062,11.027197882467204,1.79
Grid_290,2100.0,1350.0,49.573048730966654,11.027253748932829,3.8699999999999997
Grid_291,2100.0,1500.0,49.574397093300405,11.02730961959653,1.6
Grid_292,2100.0,1650.0,49.57574545527185,11.02736549445871,0.0
Grid_293,2100.0,1800.0,49.57709381688102,11.02742137351978,1.06
Grid_294,2100.0,1950.0,49.57844217812787,11.02747725678015,2.06
Grid_295,2100.0,2100.0,49.57979053901243,11.027533144240227,2.81
Grid_296,2100.0,2250.0,49.58113889953468,11.027589035900416,2.9000000000000004
Grid_297,2100.0,2400.0,49.58248725969462,11.02764493176113,2.09
Grid_298,2100.0,2550.0,49.58383561949226,11.027700831822775,1.23
Grid_299,2100.0,2700.0,49.585183978927596,11.02775673608576,0.06999999999999999
Grid_300,2100.0,2850.0,49.58653233800062,11.027812644550496,0.0
Grid_301,2250.0,0.0,49.56087711837194,11.028823982656922,0.0
Grid_302,2250.0,150.0,49.56222548224543,11.028879872560871,0.0
Grid_303,2250.0,300.0,49.56357384575657,11.028935766663908,0.29
Grid_304,2250.0,450.0,49.56492220890532,11.028991664966437,0.7000000000000001
Grid_305,2250.0,600.0,49.56627057169172,11.029047567468869,0.5599999999999999
Grid_306,2250.0,750.0,49.56761893411573,11.029103474171608,0.8099999999999999
Grid_307,2250.0,900.0,49.56896729617737,11.029159385075067,0.0
Grid_308,2250.0,1050.0,49.57031565787663,11.029215300179652,4.91
Grid_309,2250.0,1200.0,49.5716640192135,11.029271219485773,4.78
Grid_310,2250.0,1350.0,49.573012380188,11.029327142993838,7.01
Grid_311,2250.0,1500.0,49.574360740800095,11.029383070704252,0.25
Grid_312,2250.0,1650.0,49.575709101049824,11.02943900261743,0.0
Grid_313,2250.0,1800.0,49.577057460937155,11.029494938733777,0.37
Grid_314,2250.0,1950.0,49.57840582046209,11.0295508790537,0.0
Grid_315,2250.0,2100.0,49.57975417962463,11.029606823577609,3.15
Grid_316,2250.0,2250.0,49.58110253842477,11.029662772305915,3.0700000000000003
Grid_317,2250.0,2400.0,49.58245089686252,11.029718725239025,2.29
Grid_318,2250.0,2550.0,49.58379925493786,11.029774682377349,1.51
Grid_319,2250.0,2700.0,49.58514761265079,11.029830643721294,0.32
Grid_320,2250.0,2850.0,49.58649597000133,11.029886609271271,0.0
Grid_321,2400.0,0.0,49.560840745975426,11.030896859291289,0.0
Grid_322,2400.0,150.0,49.56218910812638,11.030952806203056,0.0
Grid_323,2400.0,300.0,49.56353746991488,11.031008757318183,0.01
Grid_324,2400.0,450.0,49.56488583134091,11.03106471263708,0.45999999999999996
Grid_325,2400.0,600.0,49.56623419240447,11.031120672160155,0.38999999999999996
Grid_326,2400.0,750.0,49.56758255310556,11.031176635887816,0.42
Grid_327,2400.0,900.0,49.56893091344418,11.03123260382047,0.06
Grid_328,2400.0,1050.0,49.57027927342032,11.031288575958529,4.92
Grid_329,2400.0,1200.0,49.571627633034005,11.031344552302402,4.760000000000001
Grid_330,2400.0,1350.0,49.57297599228519,11.031400532852494,1.37
Grid_331,2400.0,1500.0,49.57432435117391,11.031456517609218,5.65
Grid_332,2400.0,1650.0,49.575672709700136,11.03151250657298,1.87
Grid_333,2400.0,1800.0,49.57702106786388,11.031568499744193,1.87
Grid_334,2400.0,1950.0,49.57836942566514,11.03162449712326,2.37
Grid_335,2400.0,2100.0,49.5797177831039,11.031680498710598,2.9000000000000004
Grid_336,2400.0,2250.0,49.581066140180184,11.031736504506611,3.09
Grid_337,2400.0,2400.0,49.582414496893975,11.031792514511707,2.5100000000000002
Grid_338,2400.0,2550.0,49.58376285324526,11.0318485287263,1.55
Grid_339,2400.0,2700.0,49.58511120923404,11.031904547150797,0.37
Grid_340,2400.0,2850.0,49.58645956486033,11.031960569785605,0.0
