Step,Temp,X,Y,Lat,Lon,PDR,Accepted,IsBest
45,1.0276966953088433,2148.9497050818773,2212.469391034872,49.580789672743656,11.028251772224785,3.25531914893617,True,False
46,0.8735421910125168,2147.76319614974,2209.398820280878,49.58076235874372,11.028234224432135,3.2446808510638294,True,False
47,0.8735421910125168,2059.748012850942,2110.757148042836,49.57989698641413,11.026980685759426,3.0744680851063833,True,False
48,0.8735421910125168,1912.6763492671525,2197.015571413172,49.580707974566394,11.024979579618801,2.8297872340425534,True,False
49,0.7425108623606393,1913.6390716357146,2096.6261462726575,49.57980533255474,11.024955530854784,3.0744680851063833,True,False
50,0.7425108623606393,1932.5524059391696,2017.3071512760973,49.57908775073117,11.025187479816905,3.1702127659574466,True,False
51,0.7425108623606393,1811.8268143994771,1874.1389134641586,49.57783000001299,11.023465288574606,3.148936170212766,True,False
52,0.6311342330065435,1811.8268143994771,1874.1389134641586,49.57783000001299,11.023465288574606,3.148936170212766,False,False
53,0.6311342330065435,1811.8268143994771,1874.1389134641586,49.57783000001299,11.023465288574606,3.148936170212766,False,False
54,0.6311342330065435,1886.1509814220924,1917.6593405606855,49.57820323448835,11.024508937440054,3.265957446808511,True,False
55,0.5364640980555619,1886.1509814220924,1917.6593405606855,49.57820323448835,11.024508937440054,3.265957446808511,False,False
56,0.5364640980555619,2011.223553556588,1935.6827817918568,49.57833498003638,11.026244665113412,3.0,True,False
