Combo_ID,RSU1_ID,RSU1_X,RSU1_Y,RSU1_Single_PDR,RSU2_ID,RSU2_X,RSU2_Y,RSU2_Single_PDR,Combined_PDR
Combo_72,348243041,1355.8599521644646,1566.672000435181,17.76595744680851,19769114,192.70471265434756,703.2901573758572,0.0,8.882978723404255
Combo_75,348243041,1355.8599521644646,1566.672000435181,17.76595744680851,26841336,2130.120112635312,1638.0973390536385,0.0,8.882978723404255
Combo_76,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,cluster_1291385696_21971288,2460.9949975714558,1244.2001482555645,4.425531914893617,5.212765957446808
Combo_77,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,21970024,1584.957231852226,1011.3611775385216,3.861702127659575,4.712765957446809
Combo_78,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,17574097,1903.3333228518024,1893.8638708032668,3.446808510638298,4.5
Combo_79,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,26841358,2169.4467541250638,1324.998076606542,2.872340425531915,4.4361702127659575
Combo_99,cluster_1291385696_21971288,2460.9949975714558,1244.2001482555645,4.425531914893617,21970024,1584.957231852226,1011.3611775385216,3.861702127659575,4.25
Combo_80,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,26841333,2582.2896374859847,2018.526972612366,2.8191489361702127,4.191489361702128
Combo_81,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,17574061,1613.6646088467678,1704.3019306017086,2.606382978723404,4.085106382978723
Combo_100,cluster_1291385696_21971288,2460.9949975714558,1244.2001482555645,4.425531914893617,17574097,1903.3333228518024,1893.8638708032668,3.446808510638298,3.9361702127659575
Combo_82,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,19755457,742.8685853922507,1547.9398867161945,1.8617021276595744,3.7127659574468086
Combo_121,21970024,1584.957231852226,1011.3611775385216,3.861702127659575,17574097,1903.3333228518024,1893.8638708032668,3.446808510638298,3.648936170212766
Combo_101,cluster_1291385696_21971288,2460.9949975714558,1244.2001482555645,4.425531914893617,26841358,2169.4467541250638,1324.998076606542,2.872340425531915,3.648936170212766
Combo_102,cluster_1291385696_21971288,2460.9949975714558,1244.2001482555645,4.425531914893617,26841333,2582.2896374859847,2018.526972612366,2.8191489361702127,3.622340425531915
Combo_83,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,cluster_314448309_824235741,844.8437027597101,1218.2629532963035,1.6382978723404256,3.595744680851064
Combo_84,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,314448358,749.7437549999449,1024.7167288772762,1.5425531914893618,3.5585106382978724
Combo_103,cluster_1291385696_21971288,2460.9949975714558,1244.2001482555645,4.425531914893617,17574061,1613.6646088467678,1704.3019306017086,2.606382978723404,3.4414893617021276
Combo_122,21970024,1584.957231852226,1011.3611775385216,3.861702127659575,26841358,2169.4467541250638,1324.998076606542,2.872340425531915,3.420212765957447
Combo_85,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,19755421,1418.29960822477,1995.0837304303425,1.1702127659574468,3.3723404255319145
Combo_123,21970024,1584.957231852226,1011.3611775385216,3.861702127659575,26841333,2582.2896374859847,2018.526972612366,2.8191489361702127,3.3404255319148937
Combo_86,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,252726522,2158.717895301874,662.6837204853073,1.0851063829787235,3.335106382978723
Combo_124,21970024,1584.957231852226,1011.3611775385216,3.861702127659575,17574061,1613.6646088467678,1704.3019306017086,2.606382978723404,3.234042553191489
Combo_87,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,26841354,1879.9209603789493,1613.339192780666,0.8936170212765958,3.2180851063829783
Combo_88,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,21970003,1392.5806327123428,1092.7498201234266,0.7872340425531915,3.175531914893617
Combo_142,17574097,1903.3333228518024,1893.8638708032668,3.446808510638298,26841358,2169.4467541250638,1324.998076606542,2.872340425531915,3.1595744680851063
Combo_143,17574097,1903.3333228518024,1893.8638708032668,3.446808510638298,26841333,2582.2896374859847,2018.526972612366,2.8191489361702127,3.132978723404255
Combo_89,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,cluster_347349857_347349858,292.67258916574065,1397.3318315809593,0.6914893617021276,3.127659574468085
Combo_90,1154372516,2359.9078877496067,1065.4797123670578,5.5638297872340425,14319161,219.0621956209652,933.7101204860955,0.6914893617021276,3.127659574468085
