snapshot_no,time,vehicle_id,x,y
8,24.0,18,645236.09,5493983.72
8,24.0,19,644931.01,5493683.84
8,24.0,2,644768.33,5493598.43
8,24.0,20,646335.51,5493455.72
8,24.0,22,646425.3,5493447.64
8,24.0,24,645300.82,5493987.37
8,24.0,25,646339.04,5493443.4
8,24.0,26,646336.46,5493421.48
8,24.0,27,645471.73,5493720.68
8,24.0,28,646252.37,5493766.74
8,24.0,29,646310.48,5493591.81
8,24.0,3,646361.34,5493452.07
8,24.0,30,645476.02,5493867.87
8,24.0,31,645182.67,5493944.25
8,24.0,32,644824.89,5493571.31
8,24.0,33,646659.02,5492709.51
8,24.0,34,646290.14,5493750.32
8,24.0,35,646322.11,5493549.82
8,24.0,36,644941.13,5493578.54
8,24.0,37,646214.06,5493308.37
8,24.0,38,645829.16,5493171.72
8,24.0,39,645749.33,5493501.17
8,24.0,4,646195.11,5493329.98
8,24.0,40,645917.75,5493652.86
8,24.0,41,645734.97,5493375.72
8,24.0,42,645737.68,5493432.86
8,24.0,43,645092.73,5493844.47
8,24.0,44,646440.24,5493706.54
8,24.0,45,644833.7,5493522.2
8,24.0,46,645290.7,5493843.84
8,24.0,47,644810.7,5493414.04
8,24.0,48,645512.75,5493814.17
8,24.0,5,644889.74,5493553.08
8,24.0,6,645733.28,5493488.7
8,24.0,7,646597.58,5493424.7
8,24.0,8,645736.35,5493310.1
8,24.0,9,646010.96,5493657.15
9,26.0,0,644870.73,5493485.86
9,26.0,1,646336.08,5493470.25
9,26.0,10,646483.87,5493711.36
9,26.0,11,645092.48,5493523.57
9,26.0,12,644889.65,5493552.83
9,26.0,13,645620.47,5493473.31
9,26.0,14,646091.13,5493669.41
9,26.0,15,646166.44,5493679.04
9,26.0,16,645940.04,5493653.58
9,26.0,17,644829.25,5493569.3
9,26.0,18,645261.98,5493984.35
9,26.0,19,644920.57,5493653.56
9,26.0,2,644762.68,5493591.73
9,26.0,20,646335.51,5493455.72
9,26.0,22,646406.26,5493453.27
9,26.0,24,645327.29,5493991.58
9,26.0,25,646339.04,5493443.4
9,26.0,26,646336.46,5493421.48
9,26.0,27,645460.89,5493742.19
9,26.0,28,646227.44,5493762.05
9,26.0,29,646313.52,5493576.41
9,26.0,3,646341.66,5493452.12
9,26.0,30,645492.4,5493841.19
9,26.0,31,645181.72,5493968.1
9,26.0,32,644846.05,5493549.4
9,26.0,33,646619.74,5492722.26
9,26.0,34,646287.46,5493774.33
9,26.0,35,646321.86,5493551.44
9,26.0,36,644970.36,5493564.85
9,26.0,37,646202.93,5493321.07
9,26.0,38,645804.3,5493182.04
9,26.0,39,645754.31,5493533.42
9,26.0,4,646183.87,5493342.78
9,26.0,40,645887.22,5493652.7
9,26.0,41,645735.42,5493400.61
9,26.0,42,645732.27,5493450.52
9,26.0,43,645073.27,5493827.81
9,26.0,44,646410.1,5493704.59
9,26.0,45,644840.49,5493497.12
9,26.0,46,645300.1,5493854.59
9,26.0,47,644799.4,5493388.29
9,26.0,48,645498.3,5493837.7
9,26.0,5,644897.11,5493574.8
9,26.0,6,645730.97,5493469.27
9,26.0,7,646614.11,5493442.7
9,26.0,8,645735.5,5493336.02
9,26.0,9,645987.32,5493655.43
10,28.0,0,644852.73,5493495.61
10,28.0,1,646333.26,5493485.49
10,28.0,10,646453.92,5493707.83
10,28.0,11,645125.4,5493514.5
10,28.0,12,644896.35,5493572.56
10,28.0,13,645583.37,5493477.23
10,28.0,14,646064.09,5493664.72
10,28.0,15,646190.72,5493683.17
10,28.0,16,645915.74,5493652.83
10,28.0,17,644844.49,5493545.96
10,28.0,18,645287.8,5493986.14
10,28.0,19,644911.43,5493627.01
10,28.0,2,644759.03,5493579.18
10,28.0,20,646335.51,5493455.72
10,28.0,22,646378.73,5493452.53
