Step,Temp,X,Y,Lat,Lon,PDR,Accepted,IsBest
28,2.316169462832031,1648.7696202450154,472.01836039963223,49.565265570994285,11.020690599998568,2.404255319148936,True,True
29,2.316169462832031,1617.4591905632146,596.3826373217953,49.566391055703015,11.020304023472525,3.2978723404255317,True,True
30,2.316169462832031,1605.1147463394343,525.8466872712111,49.56575997794638,11.020107240340812,2.925531914893617,True,False
31,1.968744043407226,1623.5251865883795,454.66916982809164,49.56511571035876,11.02033527124314,2.3404255319148937,True,False
32,1.968744043407226,1742.8720516691226,424.4893213702108,49.56481560256722,11.021973490273648,1.4042553191489362,True,False
33,1.968744043407226,1892.1333336176556,427.34720947315014,49.564805219277,11.024037395541555,1.6702127659574468,True,False
34,1.6734324368961422,1769.4061572697938,291.4821221005705,49.56361357424895,11.022290797706223,1.127659574468085,True,False
35,1.6734324368961422,1807.6399697807208,379.10593140945974,49.56439199731266,11.022851744220185,1.1382978723404256,True,False
36,1.6734324368961422,1784.287959820626,248.16424325504687,49.56322058896836,11.022480373819958,1.0319148936170213,True,False
37,1.4224175713617209,1784.287959820626,248.16424325504687,49.56322058896836,11.022480373819958,1.0319148936170213,False,False
38,1.4224175713617209,1784.287959820626,248.16424325504687,49.56322058896836,11.022480373819958,1.0319148936170213,False,False
39,1.4224175713617209,1838.8010705285983,259.25534237768545,49.563307114848655,11.023237861020855,1.0212765957446808,True,False
40,1.2090549356574627,1881.0896101025407,142.72099445644838,49.56224935112951,11.02377897087316,0.05319148936170213,True,False
41,1.2090549356574627,1867.2067220013028,278.86577271277247,49.563476529005996,11.023637713443554,1.148936170212766,True,False
42,1.2090549356574627,1979.962604114761,207.8824879380997,49.56281118332484,11.025169593124863,0.3829787234042553,True,False
43,1.0276966953088433,1883.5581682738004,331.6708397415459,49.563947246755845,11.02388331827792,1.4042553191489362,True,False
44,1.0276966953088433,1883.5581682738004,331.6708397415459,49.563947246755845,11.02388331827792,1.4042553191489362,False,False
45,1.0276966953088433,1883.5581682738004,331.6708397415459,49.563947246755845,11.02388331827792,1.4042553191489362,False,False
46,0.8735421910125168,1895.3718773096882,415.25878333071336,49.5646957719432,11.02407765926162,1.6595744680851061,True,False
47,0.8735421910125168,1904.4779789682416,265.4303521690964,49.56334674502479,11.024147806188461,1.0425531914893618,True,False
48,0.8735421910125168,1760.3210016839912,394.15993704848154,49.56453875282404,11.022203376079673,1.297872340425532,True,False
49,0.7425108623606393,1873.9375650309464,493.6595958568354,49.56540570843414,11.023810573308921,1.521276595744681,True,False
50,0.7425108623606393,1873.9375650309464,493.6595958568354,49.56540570843414,11.023810573308921,1.521276595744681,False,False
51,0.7425108623606393,2008.0223986203446,369.35563147719904,49.56425589363847,11.025617445137184,1.0638297872340425,True,False
52,0.6311342330065435,1878.7861541608597,447.5362810543685,49.564989928382815,11.023860437760462,1.5425531914893618,True,False
53,0.6311342330065435,1958.536482952956,336.05372040429734,49.56396851206873,11.024921155614045,1.5319148936170213,True,False
54,0.6311342330065435,1958.536482952956,336.05372040429734,49.56396851206873,11.024921155614045,1.5319148936170213,False,False
55,0.5364640980555619,1958.536482952956,336.05372040429734,49.56396851206873,11.024921155614045,1.5319148936170213,False,False
56,0.5364640980555619,1958.536482952956,336.05372040429734,49.56396851206873,11.024921155614045,1.5319148936170213,False,False
57,0.5364640980555619,2107.0812899512243,381.0171376961334,49.564336740903734,11.026990796695692,1.2127659574468086,True,False
58,0.45599448334722764,2112.3540422619017,267.3183964566131,49.563313414829544,11.027021337390714,0.5425531914893618,True,False
